label,mean_intensity_nucleoplasm,area_nucleoplasm,mean_intensity_membrane,area_membrane,ratio,filename,localization
18,124.31146505753578,28504.0,80.03866117773403,5587.0,1.5531427341280668,37367_517_E4_2.tif,membrane
19,102.6363287250384,10416.0,74.02196193265007,2732.0,1.3865659061890783,37367_517_E4_2.tif,membrane
20,89.75739058629232,6055.0,69.2628177509694,2321.0,1.295895741767394,37367_517_E4_2.tif,membrane
1,71.91735537190083,2783.0,93.48539638386649,1438.0,0.7692897303082107,46658_784_B12_1.tif,nucleoplasm
2,45.569779286926995,5890.0,114.203125,2496.0,0.39902392589455843,46658_784_B12_1.tif,nucleoplasm
3,62.76788844014326,13123.0,89.41071080817916,5135.0,0.702017553297444,46658_784_B12_1.tif,nucleoplasm
4,61.586900464156784,1939.0,64.35361216730038,2104.0,0.9570076704326873,46658_784_B12_1.tif,nucleoplasm
6,43.209253493592065,41433.0,110.81332808605536,7623.0,0.3899283077215824,46658_784_B12_1.tif,nucleoplasm
7,46.80863518935855,36386.0,81.23263327948304,9285.0,0.5762294449856401,46658_784_B12_1.tif,nucleoplasm
8,64.46682394573872,16955.0,98.7931323283082,3582.0,0.6525435769310696,46658_784_B12_1.tif,nucleoplasm
9,62.55308602915974,37929.0,81.37326311071268,8924.0,0.7687179257399684,46658_784_B12_1.tif,nucleoplasm
10,30.84591799760292,35877.0,92.64216216216217,7400.0,0.3329576650381906,46658_784_B12_1.tif,nucleoplasm
11,45.14361924062705,33554.0,121.61283615192681,7214.0,0.37120768390131653,46658_784_B12_1.tif,nucleoplasm
12,35.54576080853453,10686.0,65.19255222524977,4404.0,0.5452426633907314,46658_784_B12_1.tif,nucleoplasm
13,66.48708081363387,27285.0,102.61263702426407,8119.0,0.6479424244590083,46658_784_B12_1.tif,nucleoplasm
14,28.466536468113873,39939.0,110.32545761391665,7703.0,0.2580232802453661,46658_784_B12_1.tif,nucleoplasm
15,29.683019964304986,48186.0,80.03975265017668,6792.0,0.37085346945083875,46658_784_B12_1.tif,nucleoplasm
16,47.34184441100982,22598.0,84.11781609195403,4176.0,0.5628040124015788,46658_784_B12_1.tif,nucleoplasm
19,50.43263320228502,46039.0,87.759292892602,8259.0,0.5746700040530571,46658_784_B12_1.tif,nucleoplasm
20,58.89168177240685,24825.0,104.41159360066487,4813.0,0.5640339328374339,46658_784_B12_1.tif,nucleoplasm
1,109.43373493975903,913.0,59.48906560636183,1006.0,1.8395604944256525,47032_977_G4_4.tif,membrane
2,143.06887174298,15812.0,103.5111381125962,4938.0,1.3821591990163815,47032_977_G4_4.tif,membrane
3,131.87120081208576,33494.0,78.1031560490941,6844.0,1.6884234579354789,47032_977_G4_4.tif,membrane
4,129.55633703755802,21327.0,57.22512497984196,6201.0,2.2639764803169125,47032_977_G4_4.tif,membrane
5,165.61336292489196,17122.0,141.96033317402882,14647.0,1.1666171755307657,47032_977_G4_4.tif,membrane
7,131.8686974789916,19040.0,58.99891825065678,6471.0,2.2351036491677307,47032_977_G4_4.tif,membrane
11,112.2609589782444,36956.0,62.09085948158254,7330.0,1.808011032792087,47032_977_G4_4.tif,membrane
